,primary_fuel,state,county,postcode
2592,Solar,Massachusetts,Hampden County,1036.0
2593,Hydro,New York,Saint Lawrence County,13667.0
2594,Solar,New Jersey,Essex County,7078.0
2595,Solar,Texas,Pecos County,
2596,Hydro,California,Los Angeles County,91311.0
2597,Storage,New York,Oswego County,13142.0
2598,Gas,New York,New York County,10009.0
2599,Hydro,Oregon,Klamath County,97601.0
2600,Solar,Massachusetts,Hampden County,1111.0
2601,Solar,North Carolina,Wayne County,27580.0
2602,Wind,California,Riverside County,92262.0
2603,Gas,Michigan,Washtenaw County,48197.0
2604,Waste,Maryland,Somerset County,21890.0
2605,Solar,Iowa,Muscatine County,52778.0
2606,Waste,Maryland,Baltimore County,21162.0
2607,Gas,Maine,Penobscot County,4401.0
2608,Solar,Virginia,Accomack County,23416.0
2609,Solar,Massachusetts,Hampshire County,1027.0
2610,Gas,Texas,Harrison County,75602.0
2611,Hydro,New Hampshire,Merrimack County,3235.0
2612,Oil,Maryland,Talbot County,21601.0
2613,Oil,Maryland,Talbot County,21601.0
2614,Solar,Massachusetts,Bristol County,2375.0
2615,Solar,North Carolina,Scotland County,28352.0
2616,Wind,Minnesota,Murray County,56122.0
2617,Oil,North Carolina,Guilford County,27282.0
2618,Solar,Minnesota,Blue Earth County,56001.0
2619,Coal,Pennsylvania,Cambria County,15931.0
2620,Hydro,Utah,Summit County,84024.0
2621,Wind,Michigan,Huron County,48725.0
2622,Coal,Michigan,Ingham County,48933.0
2623,Wind,Iowa,Guthrie County,50002.0
2624,Gas,Puerto Rico,Peñuelas,
2625,Wind,Illinois,Stephenson County,
2626,Gas,Texas,Ector County,
2627,Solar,Texas,McLennan County,76524.0
2628,Gas,Pennsylvania,Delaware County,19078.0
2629,Solar,North Carolina,Richmond County,28338.0
2630,Oil,North Carolina,Chowan County,27932.0
2631,Solar,North Carolina,Chowan County,
2632,Hydro,Michigan,Gladwin County,48620.0
2633,Gas,Delaware,New Castle County,
2634,Oil,Ohio,Williams County,43517.0
2635,Coal,Wisconsin,Sheboygan County,53081.0
2636,Gas,New York,Suffolk County,11717.0
2637,Hydro,Michigan,Chippewa County,49783.0
2638,Solar,South Carolina,Barnwell County,29812.0
2639,Wind,California,Riverside County,
2640,Hydro,California,Butte County,95966.0
2641,Gas,Georgia,Upson County,30286.0
2642,Solar,California,Kern County,93524.0
2643,Coal,Indiana,Daviess County,47528.0
2644,Nuclear,Georgia,Appling County,
2645,Hydro,New York,Saint Lawrence County,13669.0
2646,Gas,Georgia,Effingham County,
2647,Hydro,New York,Lewis County,13327.0
2648,Solar,Minnesota,Chisago County,55012.0
2649,Solar,Minnesota,Chisago County,55012.0
2650,Coal,Alaska,Fairbanks North Star,99702.0
2651,Gas,Florida,Nassau County,32034.0
2652,Gas,Alaska,Anchorage,99567.0
2653,Hydro,Alaska,Matanuska-Susitna,
2654,Wind,New Mexico,Torrance County,88321.0
2655,Gas,California,CAL Fire San Diego Unit,92020.0
2656,Storage,California,San Diego County,92119.0
2657,Gas,California,Imperial County,92243.0
2658,Hydro,California,El Dorado County,
2659,Hydro,Idaho,Adams County,
2660,Gas,Kansas,Butler County,67042.0
2661,Solar,Missouri,Cedar County,64744.0
2662,Waste,California,Merced County,95341.0
2663,Gas,California,Los Angeles County,90266.0
2664,Gas,California,Los Angeles County,90296.0
2665,Hydro,New Mexico,Rio Arriba County,
2666,Solar,Oregon,Jefferson County,
2667,Wind,Texas,Howard County,79720.0
2668,Hydro,California,Amador County,
2669,Wind,Texas,Wilbarger County,76384.0
2670,Oil,Virginia,Spotsylvania County,22407.0
2671,Gas,Iowa,Black Hawk County,50704.0
2672,Hydro,Washington,Pierce County,98344.0
2673,Hydro,New Mexico,Sierra County,87938.0
2674,Solar,California,Los Angeles County,
2675,Gas,Illinois,Cook County,60120.0
2676,Oil,Alaska,Nome,99739.0
2677,Solar,Vermont,Orange County,5070.0
2678,Gas,Virginia,,23323.0
2679,Solar,Pennsylvania,Lancaster County,17022.0
2680,Gas,Wyoming,Park County,
2681,Wind,Oklahoma,Roger Mills County,73666.0
2682,Waste,Nebraska,Douglas County,68007.0
2683,Gas,California,Kern County,
2684,Gas,California,Kern County,
2685,Gas,Wisconsin,Chippewa County,54729.0
2686,Gas,Minnesota,Sherburne County,55309.0
2687,Oil,Minnesota,Sherburne County,55330.0
2688,Wind,Kansas,Butler County,
2689,Gas,Texas,Hale County,79311.0
2690,Wind,Iowa,Delaware County,52050.0
2691,Hydro,Indiana,Elkhart County,46516.0
2692,Wind,Nebraska,Knox County,68718.0
2693,Wind,Oregon,Union County,
2694,Gas,Arkansas,Washington County,72727.0
2695,Gas,Virginia,Rockingham County,22827.0
2696,Solar,Maryland,Cecil County,21921.0
2697,Solar,North Carolina,Richmond County,28338.0
2698,Solar,Indiana,Monroe County,47429.0
2699,Solar,North Carolina,Alamance County,
2700,Oil,Kansas,Barton County,67526.0
2701,Hydro,Arkansas,Sebastian County,72923.0
2702,Solar,New York,Tompkins County,14850.0
2703,Hydro,Maine,Hancock County,4605.0
2704,Solar,New York,Saratoga County,12118.0
2705,Gas,California,Santa Barbara County,93117.0
2706,Solar,North Carolina,Wilson County,27822.0
2707,Wind,Minnesota,Jackson County,56111.0
2708,Wind,Minnesota,Jackson County,
2709,Coal,Wisconsin,Milwaukee County,53154.0
2710,Solar,North Carolina,Lee County,27330.0
2711,Oil,Missouri,St. Francois County,63640.0
2712,Hydro,New York,Lewis County,13327.0
2713,Coal,Kentucky,Daviess County,42303.0
2714,Geothermal,California,Imperial County,92233.0
2715,Gas,New Jersey,Bergen County,7407.0
2716,Oil,Wisconsin,Juneau County,53929.0
2717,Solar,Wisconsin,Juneau County,53948.0
2718,Hydro,Washington,Franklin County,
2719,Gas,Illinois,Will County,60421.0
2720,Storage,Illinois,DuPage County,60185.0
2721,Gas,Nebraska,Dixon County,68733.0
2722,Gas,Iowa,Cerro Gordo County,50428.0
2723,Solar,Maryland,Frederick County,
2724,Oil,Alaska,Kusilvak Census Area,99581.0
2725,Wind,North Dakota,Emmons County,
2726,Oil,Georgia,DeKalb County,30033.0
2727,Oil,Georgia,DeKalb County,30058.0
2728,Gas,Missouri,Jasper County,
2729,Gas,New York,Rensselaer County,12144.0
2730,Solar,Minnesota,Dakota County,55024.0
2731,Hydro,Virginia,Emporia,23847.0
2732,Gas,Kansas,Lyon County,
2733,Biomass,California,San Diego County,92011.0
2734,Gas,Washington,Whatcom County,98225.0
2735,Waste,North Dakota,Ransom County,
2736,Geothermal,Utah,Beaver County,
2737,Gas,Delaware,Kent County,19904.0
2738,Gas,Illinois,Shelby County,62462.0
2739,Solar,California,San Benito County,95023.0
2740,Solar,California,Glenn County,95963.0
2741,Solar,New York,Tompkins County,14850.0
2742,Solar,New Jersey,Middlesex County,8831.0
2743,Gas,Texas,Hutchinson County,79007.0
2744,Gas,Texas,Orange County,
2745,Wind,Iowa,Poweshiek County,50171.0
2746,Gas,Texas,Ellis County,75119.0
2747,Solar,North Carolina,Harnett County,27546.0
2748,Waste,South Carolina,Greenville County,29681.0
2749,Wind,Kansas,Gray County,
2750,Solar,Minnesota,Waseca County,56048.0
2751,Gas,Texas,Harris County,77251.0
2752,Solar,Utah,Iron County,
2753,Waste,Louisiana,Iberia Parish,70544.0
2754,Wind,Minnesota,Dakota County,
2755,Hydro,New York,Fulton County,
2756,Oil,Wisconsin,Dane County,53593.0
2757,Gas,California,Los Angeles County,90810.0
2758,Gas,California,Santa Clara County,94035.0
2759,Gas,California,Los Angeles County,90245.0
2760,Gas,California,Santa Clara County,95119.0
2761,Gas,California,Santa Clara County,95131.0
2762,Gas,California,Los Angeles County,90245.0
2763,Gas,California,Santa Clara County,95119.0
2764,Wind,Massachusetts,Essex County,1930.0
2765,Solar,Minnesota,Dakota County,55068.0
2766,Gas,New York,Nassau County,11520.0
2767,Gas,Mississippi,Warren County,39180.0
2768,Coal,Michigan,Eaton County,48821.0
2769,Oil,Kansas,Neosho County,66733.0
2770,Gas,Pennsylvania,Erie County,16507.0
2771,Oil,Kansas,Neosho County,66733.0
2772,Hydro,New Hampshire,Coos County,
2773,Gas,Massachusetts,Franklin County,1380.0
2774,Solar,North Carolina,Harnett County,28339.0
2775,Coal,New Mexico,McKinley County,87045.0
2776,Solar,Utah,Beaver County,
2777,Solar,Utah,Beaver County,
2778,Solar,Utah,Millard County,
2779,Biomass,Michigan,Delta County,49894.0
2780,Gas,California,San Diego County,92029.0
2781,Storage,California,San Diego County,92029.0
2782,Gas,Massachusetts,Hampden County,1144.0
2783,Gas,New Hampshire,Rockingham County,3801.0
2784,Gas,Maryland,Cecil County,21918.0
2785,Gas,Missouri,Stoddard County,63846.0
2786,Gas,New Jersey,Essex County,7114.0
2787,Oil,Vermont,Chittenden County,5452.0
2788,Solar,Virginia,Essex County,22504.0
2789,Hydro,Colorado,Larimer County,80517.0
2790,Gas,Iowa,Emmet County,51334.0
2791,Solar,South Carolina,Hampton County,29918.0
2792,Solar,South Carolina,Hampton County,29918.0
2793,Solar,Arizona,Maricopa County,85323.0
2794,Hydro,California,CAL Fire San Bernardino Unit,91739.0
2795,Solar,New Mexico,Bernalillo County,87115.0
2796,Wind,Ohio,Cuyahoga County,44132.0
2797,Hydro,Oklahoma,McIntosh County,
2798,Wind,Oregon,Umatilla County,
2799,Wind,Alaska,Denali,
2800,Gas,Idaho,Elmore County,
2801,Gas,Illinois,Cook County,60201.0
2802,Solar,North Carolina,Martin County,27871.0
2803,Solar,North Carolina,Martin County,27892.0
2804,Waste,Oregon,Linn County,97384.0
2805,Oil,Indiana,Tippecanoe County,47909.0
2806,Hydro,California,Mariposa County,
2807,Oil,Massachusetts,Middlesex County,1702.0
2808,Gas,Texas,Harris County,77571.0
2809,Oil,Massachusetts,Norfolk County,2053.0
2810,Solar,Illinois,Cook County,60643.0
2811,Gas,Massachusetts,Norfolk County,2053.0
2812,Other,Connecticut,Northeastern Connecticut COG,6377.0
2813,Solar,California,Tulare County,93221.0
2814,Gas,Iowa,Audubon County,
2815,Gas,Indiana,Lake County,46312.0
2816,Solar,California,San Bernardino County,92394.0
2817,Solar,California,San Bernardino County,92394.0
2818,Solar,California,San Bernardino County,92394.0
2819,Gas,California,Santa Clara County,95119.0
2820,Gas,California,Santa Clara County,95119.0
2821,Solar,North Carolina,Lenoir County,28530.0
2822,Gas,Louisiana,East Baton Rouge Parish,70805.0
2823,Gas,Texas,Harris County,77521.0
2824,Gas,Texas,Harris County,77521.0
2825,Gas,Texas,Jefferson County,77710.0
2826,Gas,Alabama,Mobile County,36582.0
2827,Gas,Illinois,Will County,
2828,Gas,California,Santa Barbara County,
2829,Storage,Alaska,Unorganized Borough,99574.0
2830,Coal,Indiana,Warrick County,
2831,Gas,Michigan,Marquette County,49866.0
2832,Solar,California,Sacramento County,95742.0
2833,Biomass,Wisconsin,Milwaukee County,53233.0
2834,Solar,Arkansas,Saline County,72015.0
2835,Solar,Florida,Miami-Dade County,33174.0
2836,Solar,Florida,Wakulla County,32327.0
2837,Gas,California,Santa Clara County,95035.0
2838,Solar,North Carolina,Robeson County,28358.0
2839,Solar,North Carolina,Robeson County,28358.0
2840,Solar,North Carolina,Duplin County,28572.0
2841,Wind,North Dakota,Barnes County,
2842,Wind,North Dakota,Burleigh County,
2843,Wind,Iowa,Winnebago County,50436.0
2844,Wind,Iowa,Hancock County,50423.0
2845,Wind,Illinois,DeKalb County,60550.0
2846,Wind,California,Solano County,
2847,Wind,North Dakota,LaMoure County,
2848,Wind,North Dakota,Oliver County,
2849,Wind,North Dakota,Oliver County,
2850,Wind,Iowa,Story County,50278.0
2851,Wind,Washington,Walla Walla County,
2852,Wind,Washington,Walla Walla County,99363.0
2853,Solar,California,Sacramento County,95828.0
2854,Solar,New Mexico,Valencia County,
2855,Solar,New Mexico,Bernalillo County,
2856,Solar,New Mexico,Bernalillo County,87151.0
2857,Solar,North Carolina,Alamance County,27215.0
2858,Oil,Illinois,Sangamon County,62702.0
2859,Wind,Maryland,Garrett County,21550.0
2860,Oil,Alaska,Fairbanks North Star,99707.0
2861,Oil,Wisconsin,Rock County,53511.0
2862,Oil,Minnesota,Renville County,55332.0
2863,Hydro,Vermont,Franklin County,5454.0
2864,Oil,Illinois,Wayne County,62837.0
2865,Hydro,South Carolina,Fairfield County,29065.0
2866,Gas,Connecticut,Greater Bridgeport COG,6824.0
2867,Wind,Montana,Teton County,
2868,Oil,Missouri,Cole County,65109.0
2869,Solar,Massachusetts,Bristol County,2719.0
2870,Waste,California,Humboldt County,95564.0
2871,Wind,Massachusetts,Bristol County,2719.0
2872,Gas,Pennsylvania,Bucks County,8505.0
2873,Waste,Pennsylvania,Bucks County,8505.0
2874,Gas,Minnesota,Martin County,56031.0
2875,Wind,Minnesota,Martin County,56031.0
2876,Solar,North Carolina,Robeson County,28340.0
2877,Solar,Massachusetts,Franklin County,1373.0
2878,Solar,North Carolina,Duplin County,28329.0
2879,Hydro,Texas,Starr County,
2880,Hydro,California,Siskiyou County,
2881,Solar,Massachusetts,Bristol County,2726.0
2882,Gas,Pennsylvania,Franklin County,17201.0
2883,Oil,Pennsylvania,Bucks County,19067.0
2884,Gas,Nebraska,Richardson County,68355.0
2885,Hydro,Oregon,Linn County,
2886,Hydro,North Carolina,Stanly County,28009.0
2887,Hydro,Idaho,Fremont County,83420.0
2888,Hydro,Connecticut,Northwest Hills COG,6031.0
2889,Solar,Massachusetts,Barnstable County,2536.0
2890,Oil,Alaska,Unorganized Borough,99921.0
2891,Hydro,Oregon,Clackamas County,97023.0
2892,Hydro,Idaho,Canyon County,83628.0
2893,Gas,Minnesota,Rice County,55021.0
2894,Solar,Massachusetts,Worcester County,1507.0
2895,Oil,Illinois,DeWitt County,61842.0
2896,Waste,Texas,Denton County,
2897,Wind,Missouri,Atchison County,
2898,Oil,Iowa,Johnson County,52247.0
2899,Solar,California,Tulare County,93247.0
2900,Solar,Minnesota,Dakota County,55024.0
2901,Solar,Missouri,St. Francois County,63640.0
2902,Solar,North Carolina,Chatham County,27517.0
2903,Solar,Minnesota,Meeker County,55325.0
2904,Solar,Minnesota,Douglas County,56360.0
2905,Solar,Minnesota,Blue Earth County,56063.0
2906,Solar,Minnesota,Stearns County,56310.0
2907,Solar,Minnesota,McLeod County,55385.0
2908,Solar,Minnesota,Nicollet County,56021.0
2909,Oil,South Dakota,Faulk County,57438.0
2910,Oil,Missouri,Howard County,65248.0
2911,Gas,Pennsylvania,Fayette County,15461.0
2912,Coal,Texas,Fayette County,
2913,Gas,California,Sutter County,95991.0
2914,Solar,Maryland,Prince George's County,20785.0
2915,Solar,New Jersey,Middlesex County,8837.0
2916,Solar,Massachusetts,Plymouth County,2330.0
2917,Hydro,New York,Saratoga County,12803.0
2918,Hydro,Idaho,Teton County,
2919,Solar,Minnesota,Dakota County,55065.0
2920,Wind,New York,Madison County,13035.0
2921,Oil,Wisconsin,Grant County,53809.0
2922,Solar,Wisconsin,Grant County,53809.0
2923,Wind,Minnesota,Nobles County,56153.0
2924,Oil,Minnesota,Otter Tail County,56537.0
2925,Nuclear,Michigan,Monroe County,48116.0
2926,Biomass,Florida,Nassau County,32034.0
2927,Waste,Florida,Nassau County,32034.0
2928,Gas,Washington,Whatcom County,
2929,Wind,Minnesota,Pipestone County,56186.0
2930,Waste,Wisconsin,Marathon County,54471.0
2931,Solar,Utah,Iron County,84756.0
2932,Solar,Utah,Iron County,
2933,Solar,Utah,Iron County,
2934,Oil,Florida,Volusia County,32168.0
2935,Hydro,Massachusetts,Berkshire County,1343.0
2936,Waste,Idaho,Kootenai County,
2937,Wind,Texas,Sherman County,73960.0
2938,Waste,New York,Warren County,12801.0
2939,Wind,Ohio,Hancock County,45840.0
2940,Solar,New York,Ontario County,14456.0
2941,Waste,Oregon,Morrow County,
2942,Wind,Alaska,Anchorage,
2943,Solar,Maryland,Prince George's County,20747.0
2944,Petcoke,Ohio,Lucas County,43434.0
2945,Oil,Ohio,Lake County,44095.0
2946,Coal,West Virginia,Monongalia County,15474.0
2947,Coal,West Virginia,Harrison County,26366.0
2948,Coal,West Virginia,Pleasants County,26134.0
2949,Coal,Ohio,Jefferson County,43961.0
2950,Hydro,Oregon,Douglas County,
2951,Solar,Massachusetts,Bristol County,2748.0
2952,Solar,North Carolina,Montgomery County,27306.0
2953,Oil,New York,Suffolk County,6390.0
2954,Hydro,South Carolina,Chester County,29055.0
2955,Oil,Illinois,Cook County,60608.0
2956,Gas,Wisconsin,Dane County,53719.0
2957,Waste,Massachusetts,Worcester County,
2958,Hydro,Michigan,Iosco County,
2959,Hydro,New York,Saint Lawrence County,12697.0
2960,Solar,North Carolina,Warren County,27551.0
2961,Waste,Illinois,Christian County,62568.0
2962,Solar,California,Fresno County,
2963,Solar,California,Fresno County,93234.0
2964,Hydro,Wisconsin,Price County,54552.0
2965,Hydro,Wisconsin,Rusk County,
2966,Hydro,Wisconsin,Price County,54524.0
2967,Waste,Wisconsin,Price County,54552.0
2968,Solar,Wisconsin,Price County,54555.0
2969,Hydro,Utah,Daggett County,84023.0
2970,Solar,North Carolina,Catawba County,28613.0
2971,Wind,Texas,Moore County,79086.0
2972,Solar,North Carolina,Martin County,27871.0
2973,Wind,Kansas,Harper County,
2974,Wind,Kansas,Barber County,
2975,Wind,Kansas,Barber County,
2976,Hydro,New York,Saint Lawrence County,13670.0
2977,Wind,Texas,Mills County,76870.0
2978,Wind,Kansas,Nemaha County,66408.0
2979,Hydro,Colorado,Larimer County,
2980,Hydro,Nevada,Lyon County,89403.0
2981,Solar,New Jersey,Hunterdon County,8822.0
2982,Solar,North Carolina,Pitt County,27834.0
2983,Coal,Arkansas,Benton County,72734.0
2984,Hydro,Montana,Granite County,
2985,Solar,North Carolina,Moore County,27325.0
2986,Hydro,Georgia,Dougherty County,31701.0
2987,Biomass,Georgia,Macon County,31068.0
2988,Oil,Illinois,Clay County,62839.0
2989,Oil,Illinois,Clay County,62839.0
2990,Oil,Vermont,Rutland County,5744.0
2991,Wind,Minnesota,Lincoln County,56149.0
2992,Waste,South Carolina,Florence County,
2993,Solar,New Jersey,Burlington County,8554.0
2994,Gas,Florida,Polk County,33885.0
2995,Oil,Maine,Aroostook County,4769.0
2996,Solar,North Carolina,Harnett County,27504.0
2997,Solar,North Carolina,Northampton County,27831.0
2998,Solar,North Carolina,Robeson County,28340.0
2999,Wind,Texas,Scurry County,79517.0
3000,Wind,Iowa,Dickinson County,51347.0
3001,Storage,Alaska,Kodiak Island,99615.0
3002,Wind,Texas,Foard County,79227.0
3003,Hydro,California,Sacramento County,95671.0
3004,Solar,California,Sacramento County,95671.0
3005,Hydro,Minnesota,Saint Louis County,
3006,Hydro,California,San Bernardino County,92377.0
3007,Hydro,North Carolina,Swain County,28733.0
3008,Wind,Iowa,Adair County,50048.0
3009,Hydro,Wyoming,Lincoln County,
3010,Hydro,Michigan,Iosco County,48750.0
3011,Wind,Wyoming,Carbon County,
3012,Wind,Wyoming,Carbon County,
3013,Wind,Wyoming,Carbon County,
3014,Wind,Wyoming,Carbon County,
3015,Hydro,California,Los Angeles County,91342.0
3016,Hydro,California,Los Angeles County,
3017,Hydro,Colorado,Douglas County,80125.0
3018,Solar,Arizona,Yuma County,
3019,Solar,Rhode Island,Providence County,2915.0
3020,Hydro,California,Butte County,95954.0
3021,Hydro,Idaho,Clearwater County,83553.0
3022,Gas,New Mexico,Bernalillo County,87131.0
3023,Solar,Michigan,Wayne County,48126.0
3024,Oil,New York,,10458.0
3025,Gas,Massachusetts,Norfolk County,2191.0
3026,Solar,Minnesota,Goodhue County,55066.0
3027,Oil,Iowa,Winnebago County,50436.0
3028,Solar,Iowa,Winnebago County,50436.0
3029,Wind,Texas,Sterling County,
3030,Solar,Minnesota,Washington County,55025.0
3031,Hydro,New York,Oneida County,13301.0
3032,Solar,California,Los Angeles County,90032.0
3033,Gas,New Jersey,Ocean County,8731.0
3034,Hydro,California,Butte County,95954.0
3035,Gas,Louisiana,East Baton Rouge Parish,70805.0
3036,Gas,Texas,Calhoun County,77978.0
3037,Gas,Texas,Kaufman County,75126.0
3038,Solar,Georgia,Chattahoochee County,
3039,Solar,Texas,El Paso County,79918.0
3040,Solar,Nebraska,Washington County,68023.0
3041,Storage,Colorado,El Paso County,80902.0
3042,Gas,Nevada,Lyon County,
3043,Solar,Maryland,Frederick County,21702.0
3044,Gas,Kansas,Ford County,67843.0
3045,Hydro,Oklahoma,Cherokee County,76434.0
3046,Solar,Georgia,Richmond County,30905.0
3047,Oil,Alaska,Unorganized Borough,99731.0
3048,Wind,Kansas,Ellis County,
3049,Oil,Connecticut,Southeastern Connecticut COG,6382.0
3050,Solar,Arizona,Cochise County,85613.0
3051,Solar,Pennsylvania,Lebanon County,17077.0
3052,Hydro,Tennessee,Loudon County,37772.0
3053,Gas,Colorado,Weld County,80621.0
3054,Hydro,New York,Saratoga County,12871.0
3055,Gas,Florida,Lee County,33905.0
3056,Hydro,Tennessee,Sullivan County,37664.0
3057,Hydro,Montana,Valley County,59248.0
3058,Hydro,South Dakota,Charles Mix County,57367.0
3059,Solar,Alabama,Dale County,36360.0
3060,Gas,Colorado,Weld County,80651.0
3061,Solar,Georgia,Liberty County,31315.0
3062,Gas,New York,Niagara County,14120.0
3063,Wind,Wisconsin,Dodge County,53006.0
3064,Wind,Pennsylvania,Somerset County,15563.0
3065,Wind,Idaho,Twin Falls County,
3066,Hydro,Oregon,Linn County,97386.0
3067,Gas,California,Contra Costa County,94520.0
3068,Coal,Pennsylvania,Northumberland County,17832.0
3069,Wind,California,Solano County,94534.0
3070,Wind,California,Los Angeles County,93536.0
3071,Wind,California,Monterey County,
3072,Wind,California,,
3073,Wind,California,Yolo County,95653.0
3074,Wind,California,San Bernardino County,92393.0
3075,Wind,California,CAL Fire San Bernardino Unit,91739.0
3076,Wind,California,Monterey County,93926.0
3077,Wind,California,Riverside County,92230.0
3078,Wind,California,Riverside County,92230.0
3079,Wind,California,San Joaquin County,95391.0
3080,Wind,California,Monterey County,93960.0
3081,Wind,California,Monterey County,
3082,Wind,California,Solano County,95620.0
3083,Wind,California,Tehama County,96080.0
3084,Solar,Rhode Island,Newport County,2871.0
3085,Gas,Colorado,El Paso County,
3086,Coal,New Mexico,San Juan County,
3087,Wind,Oregon,Umatilla County,
3088,Wind,Oregon,Morrow County,
3089,Hydro,Michigan,Alpena County,49707.0
3090,Waste,New Mexico,Doña Ana County,88063.0
3091,Biomass,Arkansas,Pulaski County,
3092,Wind,Maryland,Garrett County,21532.0
3093,Hydro,New York,Saratoga County,12188.0
3094,Wind,Indiana,Benton County,47944.0
3095,Wind,Indiana,Benton County,47944.0
3096,Solar,Minnesota,Chisago County,55084.0
3097,Solar,North Carolina,Franklin County,
3098,Gas,Wisconsin,Outagamie County,54130.0
3099,Wind,Maine,Knox County,4863.0
3100,Solar,North Carolina,Moore County,28370.0
3101,Gas,Connecticut,Southeastern Connecticut COG,6338.0
3102,Oil,Massachusetts,Middlesex County,1702.0
3103,Solar,Maryland,Frederick County,21704.0
3104,Solar,California,Los Angeles County,90502.0
3105,Oil,Michigan,Ionia County,48875.0
3106,Gas,Colorado,Adams County,
3107,Hydro,California,Stanislaus County,
3108,Solar,New Jersey,Sussex County,7826.0
3109,Hydro,California,Los Angeles County,90210.0
3110,Hydro,North Carolina,Macon County,28734.0
3111,Gas,Nebraska,Franklin County,68939.0
3112,Hydro,New York,Franklin County,12913.0
3113,Solar,Massachusetts,Norfolk County,2038.0
3114,Solar,Massachusetts,Norfolk County,2038.0
3115,Wind,Iowa,Franklin County,50006.0
3116,Oil,Connecticut,Northwest Hills COG,6790.0
3117,Gas,Minnesota,Olmsted County,55902.0
3118,Solar,Connecticut,Southeastern Connecticut COG,6266.0
3119,Solar,North Carolina,Franklin County,27549.0
3120,Solar,North Carolina,Franklin County,27816.0
3121,Solar,New York,Franklin County,12953.0
3122,Gas,California,San Mateo County,94403.0
3123,Solar,North Carolina,Franklin County,27525.0
3124,Oil,Wisconsin,Polk County,
3125,Solar,Maryland,Frederick County,21704.0
3126,Waste,Virginia,Frederick County,22602.0
3127,Gas,Washington,Pierce County,98387.0
3128,Gas,Washington,Pierce County,98446.0
3129,Gas,Missouri,Madison County,63645.0
3130,Gas,Washington,Skagit County,
3131,Oil,Illinois,Saint Clair County,62243.0
3132,Gas,Illinois,Fayette County,62458.0
3133,Solar,South Carolina,Dillon County,97392.0
3134,Solar,Georgia,Sumter County,31711.0
3135,Solar,North Carolina,Lincoln County,28165.0
3136,Gas,Texas,Brazoria County,77531.0
3137,Gas,Texas,Brazoria County,77531.0
3138,Gas,Texas,Brazoria County,77541.0
3139,Oil,New Mexico,Grant County,
3140,Gas,Texas,Freestone County,
3141,Solar,Massachusetts,Bristol County,2717.0
3142,Solar,California,Los Angeles County,90638.0
3143,Solar,New Jersey,Middlesex County,8810.0
3144,Hydro,Wyoming,Natrona County,
3145,Biomass,Michigan,Newaygo County,49412.0
3146,Gas,Ohio,Sandusky County,43442.0
3147,Solar,North Carolina,Wayne County,27863.0
3148,Oil,Wisconsin,La Crosse County,54603.0
3149,Hydro,Michigan,Wayne County,48111.0
3150,Hydro,California,Placer County,
3151,Hydro,Michigan,Berrien County,49120.0
3152,Solar,New Jersey,Ocean County,8724.0
3153,Solar,New Jersey,Hunterdon County,8825.0
3154,Solar,New Jersey,Hunterdon County,8868.0
3155,Solar,New Jersey,Hunterdon County,8825.0
3156,Gas,California,Fresno County,
3157,Solar,California,Fresno County,
3158,Waste,Pennsylvania,Lancaster County,17516.0
3159,Hydro,California,Fresno County,93626.0
3160,Gas,Texas,Harris County,77035.0
3161,Hydro,Virginia,Grayson County,24330.0
3162,Gas,Connecticut,Northeastern Connecticut COG,6241.0
3163,Gas,California,Kern County,93314.0
3164,Solar,New York,Ulster County,12428.0
3165,Gas,Colorado,El Paso County,
3166,Waste,Colorado,Weld County,80516.0
3167,Oil,Massachusetts,Hampden County,1013.0
3168,Solar,Minnesota,Goodhue County,55026.0
3169,Gas,Oklahoma,Oklahoma County,73128.0
3170,Solar,California,CAL Fire Kern County,93312.0
3171,Solar,California,Stanislaus County,95313.0
3172,Wind,Oklahoma,Kay County,74631.0
3173,Gas,Colorado,Mesa County,81507.0
3174,Solar,Nevada,Lyon County,
3175,Oil,South Dakota,Stanley County,57532.0
3176,Gas,California,Orange County,92831.0
3177,Gas,Arkansas,Hempstead County,71838.0
3178,Gas,Missouri,Callaway County,65251.0
3179,Hydro,New York,Oswego County,13069.0
3180,Waste,New York,Fulton County,
3181,Solar,Connecticut,Southeastern Connecticut COG,6330.0
3182,Wind,Massachusetts,Plymouth County,2560.0
3183,Oil,Illinois,Macon County,62549.0
3184,Wind,Minnesota,Nobles County,56168.0
3185,Coal,North Carolina,Gaston County,28012.0
3186,Wind,Minnesota,Dodge County,
3187,Gas,Florida,Miami-Dade County,33030.0
3188,Solar,New Jersey,Sussex County,7461.0
3189,Waste,California,Solano County,95687.0
3190,Waste,Florida,Marion County,34472.0
3191,Waste,California,Yuba County,95903.0
3192,Solar,Rhode Island,South County,2898.0
3193,Solar,Rhode Island,Kent County,2817.0
3194,Wind,California,CAL Fire Kern County,
3195,Wind,Texas,Lubbock County,
3196,Solar,Massachusetts,Middlesex County,1745.0
3197,Gas,California,San Diego County,92056.0
3198,Solar,North Carolina,Perquimans County,27919.0
3199,Biomass,Wisconsin,Dane County,53562.0
3200,Wind,Minnesota,Winona County,55952.0
3201,Waste,Pennsylvania,Lebanon County,17003.0
3202,Solar,Ohio,Trumbull County,
3203,Solar,Vermont,Windsor County,5059.0
3204,Solar,Vermont,Addison County,5472.0
3205,Solar,Vermont,Chittenden County,5477.0
3206,Solar,Vermont,Orange County,5679.0
3207,Solar,Vermont,Chittenden County,5495.0
